dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
NATOPS,linear_conv_learnable_sinusoidal,144,51,6,0.8716,0.0235,9,0.0180,0.8716 ± 0.0180
NATOPS,linear_conv_random_pe,144,51,6,0.7939,0.0311,10,0.0222,0.7939 ± 0.0222
NATOPS,linear_conv_sinusoidal,144,51,6,0.8600,0.0401,10,0.0287,0.8600 ± 0.0287
NATOPS,linear_no_pe,144,51,6,0.7118,0.0138,8,0.0115,0.7118 ± 0.0115
PEMS-SF,linear_conv_0_8_gaussian_fpe,213,144,7,0.7220,0.0275,10,0.0196,0.7220 ± 0.0196
PEMS-SF,linear_conv_1_sinc_fpe,213,144,7,0.7098,0.0211,10,0.0151,0.7098 ± 0.0151
PEMS-SF,linear_conv_2_sinc_fpe,213,144,7,0.7301,0.0344,10,0.0246,0.7301 ± 0.0246
PEMS-SF,linear_conv_5_sinc_fpe,213,144,7,0.7538,0.0210,10,0.0150,0.7538 ± 0.0150
PEMS-SF,linear_conv_learnable_random_pe,213,144,7,0.7584,0.0245,10,0.0175,0.7584 ± 0.0175
PEMS-SF,linear_conv_learnable_sinusoidal,213,144,7,0.7468,0.0466,10,0.0333,0.7468 ± 0.0333
PEMS-SF,linear_conv_random_pe,213,144,7,0.7191,0.0249,10,0.0178,0.7191 ± 0.0178
PEMS-SF,linear_conv_sinusoidal,213,144,7,0.7208,0.0347,10,0.0248,0.7208 ± 0.0248
PEMS-SF,linear_no_pe,213,144,7,0.5757,0.0614,10,0.0439,0.5757 ± 0.0439
PenDigits,linear_conv_0_8_gaussian_fpe,5995,8,10,0.9644,0.0052,10,0.0037,0.9644 ± 0.0037
PenDigits,linear_conv_1_sinc_fpe,5995,8,10,0.9613,0.0045,10,0.0032,0.9613 ± 0.0032
PenDigits,linear_conv_2_sinc_fpe,5995,8,10,0.9638,0.0018,9,0.0014,0.9638 ± 0.0014
PenDigits,linear_conv_5_sinc_fpe,5995,8,10,0.9607,0.0031,10,0.0022,0.9607 ± 0.0022
PenDigits,linear_conv_learnable_random_pe,5995,8,10,0.9583,0.0029,10,0.0020,0.9583 ± 0.0020
PenDigits,linear_conv_learnable_sinusoidal,5995,8,10,0.9593,0.0040,10,0.0029,0.9593 ± 0.0029
PenDigits,linear_conv_random_pe,5995,8,10,0.9594,0.0051,10,0.0037,0.9594 ± 0.0037
PenDigits,linear_conv_sinusoidal,5995,8,10,0.9405,0.0056,10,0.0040,0.9405 ± 0.0040
PenDigits,linear_no_pe,5995,8,10,0.7445,0.0101,10,0.0072,0.7445 ± 0.0072
PhonemeSpectra,linear_conv_0_8_gaussian_fpe,2652,217,39,0.0708,0.0032,10,0.0023,0.0708 ± 0.0023
PhonemeSpectra,linear_conv_1_sinc_fpe,2652,217,39,0.0712,0.0033,10,0.0024,0.0712 ± 0.0024
PhonemeSpectra,linear_conv_2_sinc_fpe,2652,217,39,0.0699,0.0035,10,0.0025,0.0699 ± 0.0025
PhonemeSpectra,linear_conv_5_sinc_fpe,2652,217,39,0.0711,0.0020,7,0.0018,0.0711 ± 0.0018
PhonemeSpectra,linear_conv_learnable_random_pe,2652,217,39,0.0596,0.0054,10,0.0038,0.0596 ± 0.0038
PhonemeSpectra,linear_conv_learnable_sinusoidal,2652,217,39,0.0684,0.0022,8,0.0019,0.0684 ± 0.0019
PhonemeSpectra,linear_conv_random_pe,2652,217,39,0.0575,0.0039,10,0.0028,0.0575 ± 0.0028
