dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
SpokenArabicDigits,linear_conv_5_sinc_fpe,0.9830 ± 0.0020,0.9830,0.0029,0.0020,8,10
SpokenArabicDigits,linear_conv_learnable_random_pe,0.9758 ± 0.0014,0.9758,0.0021,0.0014,8,10
SpokenArabicDigits,linear_conv_learnable_sinusoidal,0.9749 ± 0.0018,0.9749,0.0029,0.0018,9,10
SpokenArabicDigits,linear_conv_random_pe,0.9699 ± 0.0035,0.9699,0.0052,0.0035,8,10
SpokenArabicDigits,linear_conv_sinusoidal,0.9702 ± 0.0026,0.9702,0.0039,0.0026,8,10
SpokenArabicDigits,linear_no_pe,0.9175 ± 0.0072,0.9175,0.0108,0.0072,8,10
StandWalkJump,linear_conv_0_8_gaussian_fpe,0.2963 ± 0.0300,0.2963,0.0484,0.0300,9,10
StandWalkJump,linear_conv_1_sinc_fpe,0.2889 ± 0.0462,0.2889,0.0745,0.0462,9,10
StandWalkJump,linear_conv_2_sinc_fpe,0.3250 ± 0.0373,0.3250,0.0556,0.0373,8,10
StandWalkJump,linear_conv_5_sinc_fpe,0.3167 ± 0.0745,0.3167,0.1112,0.0745,8,10
StandWalkJump,linear_conv_learnable_random_pe,0.3185 ± 0.0182,0.3185,0.0294,0.0182,9,10
StandWalkJump,linear_conv_learnable_sinusoidal,0.3185 ± 0.0402,0.3185,0.0648,0.0402,9,10
StandWalkJump,linear_conv_random_pe,0.3259 ± 0.0248,0.3259,0.0400,0.0248,9,10
StandWalkJump,linear_conv_sinusoidal,0.3200 ± 0.0570,0.3200,0.0984,0.0570,10,10
StandWalkJump,linear_no_pe,0.4000 ± 0.0316,0.4000,0.0545,0.0316,10,10
UWaveGestureLibraryAll,linear_conv_0_8_gaussian_fpe,0.8618 ± 0.0060,0.8618,0.0090,0.0060,8,10
UWaveGestureLibraryAll,linear_conv_1_sinc_fpe,0.8305 ± 0.0112,0.8305,0.0167,0.0112,8,10
UWaveGestureLibraryAll,linear_conv_2_sinc_fpe,0.8733 ± 0.0053,0.8733,0.0080,0.0053,8,10
UWaveGestureLibraryAll,linear_conv_5_sinc_fpe,0.9063 ± 0.0055,0.9063,0.0083,0.0055,8,10
UWaveGestureLibraryAll,linear_conv_learnable_random_pe,0.8862 ± 0.0021,0.8862,0.0032,0.0021,8,10
UWaveGestureLibraryAll,linear_conv_learnable_sinusoidal,0.8940 ± 0.0028,0.8940,0.0041,0.0028,8,10
UWaveGestureLibraryAll,linear_conv_random_pe,0.8598 ± 0.0044,0.8598,0.0065,0.0044,8,10
UWaveGestureLibraryAll,linear_conv_sinusoidal,0.8882 ± 0.0017,0.8882,0.0026,0.0017,8,10
UWaveGestureLibraryAll,linear_no_pe,0.2508 ± 0.0105,0.2508,0.0157,0.0105,8,10
